"Supplemental Table 1. Geochemical data associated with 2015 and 2016 sampling periods. spCond = specific conductivity, TDS = total dissolved solids, OrP = redox potential, Turbid+NTU = turbidity, Chl = chlorophyll-a, ODO = dissolved oxygen, SRP = soluble reactive phosphorous, TN = total nitrogen, TP = total phosphorous, NPOC = non-particulate organic carbon."																			
																			
Sample	Wetland	Zone	Time	Year	Temp(C?)	spCond (mS/cm)	TDS(g/L)	pH	OrP(mV)	Turbid+NTU	Chl(ug/L)	ODOsat(%)	ODO(mg/L)	Nitrate (mg/L)	Ammonia (mg/L)	SRP (mg/L)	TN (mg/L)	TP (mg/L)	NPOC (mg/L)
SF_B3_M1	SF	B	M1	2015	20.53	0.03	0.02	5.85	253.8	2.9	117	22.3	2.01	0.013	0.026	0.005	0.99	0.0018	29.71
SF_B3_M2	SF	B	M2	2015	22.67	0.033	0.022	5.86	225.2	24.8	57.6	26.1	2.25	0.008	0.026	0.004	0.61	0.0018	25.1
SF_B3_N1	SF	B	N1	2015	23.79	0.026	0.017	6.46	246.4	4.4	94.9	138.5	11.7	0.015	0.032	0.007	1.195	0.0018	24.06
SF_B3_N2	SF	B	N2	2015	24.51	0.018	0.012	6.12	263.2	2.9	88.9	118.2	9.86	0.011	0.049	0.005	1.09	0.0018	30.08
																			
MM_M1_1	MM	B	M1	2016	22.64	0.052	0.034	6.96	223.7	0.7	9.5	33.6	2.9	0.043	0.046	0.005			
MM_M2_1	MM	B	M2	2016	22.72	0.05	0.032	6.41	217.1	0.7	10.2	42.6	3.67	0.017	0.053	0.004			
MM_N1_1	MM	B	N1	2016	25.71	0.046	0.03	6.38	200.1	0.7	9.8	67.7	5.52	0.066	0.051	0.003			
MM_N2_1	MM	B	N2	2016	26.15	0.049	0.032	6.98	210	0.6	8	72.4	5.86	0.018	0.053	0.003			
MM_M1_2	MM	B	M1	2016	22.63	0.047	0.031	6.32	194.4	0.7	9.7	41.5	3.58	0.024	0.047	0.004			
MM_M2_2	MM	B	M2	2016	22.94	0.002	0.002	6.24	223.5	0.3	9.8	38.8	3.33	0.014	0.042	0.003			
MM_N1_2	MM	B	N1	2016	25.36	0.046	0.03	6.38	210.6	1	9.7	73.2	6.01	0.019	0.046	0.004			
MM_N2_2	MM	B	N2	2016	25.65	0.047	0.03	6.54	209.9	0.6	9.2	73.2	5.98	0.029	0.053	0.007			
MM_M1_3	MM	B	M1	2016	22.54	0.048	0.031	6.2	208.6	0.9	10.9	31.9	2.76	0.017	0.059	0.003			
MM_M2_3	MM	B	M2	2016	23.24	0.048	0.031	6.2	220.2	0.8	10.2	32.2	2.75	0.018	0.05	0.003			
MM_N1_3	MM	B	N1	2016	25.81	0.046	0.03	6.32	216.9	0.9	11.3	70.6	5.74	0.011	0.047	0.003			
MM_N2_3	MM	B	N2	2016	25.78	0	0	6.48	2213.7	1.3	9.4	66.6	5.43	0.02	0.06	0.003			
SF_M1_1	SF	B	M1	2016	20.56	0.003	0.002	6.29	235.6	9.7	111.4	18.3	1.65	0.068	0.048	0.007			
SF_M2_1	SF	B	M2	2016	22.01	0.04	0.026	6.1	225.7	6.9	65.9	19.5	1.71	0.024	0.061	0.007			
SF_N1_1	SF	B	N1	2016	26.96	0.029	0.019	8.16	210.7	10.9	93.1	125.9	10.04	0.023	0.051	0.006			
SF_N2_1	SF	B	N2	2016	28.92	0.033	0.021	8	219	6.7	52	145	11.17	0.025	0.055	0.007			
SF_M1_2	SF	B	M1	2016	20.62	0.036	0.024	5.7	204.8	8.8	56.8	11.4	1.02	0.012	0.041	0.004			
SF_M2_2	SF	B	M2	2016	22.21	0.035	0.023	5.74	221.1	5	422.5	14.6	1.27	0.021	0.045	0.005			
SF_N1_2	SF	B	N1	2016	27.13	0.028	0.018	6.7	247.1	9.8	91.9	153.6	12.21	0.017	0.046	0.006			
SF_N2_2	SF	B	N2	2016	29.32	0.028	0.018	7	239.4	6.3	43	181	13.84	0.031	0.046	0.007			
SF_M1_3	SF	B	M1	2016	19.96	0.038	0.025	5.55	229.7	5.2	49.3	7.4	0.67	0.009	0.057	0.005			
SF_M2_3	SF	B	M2	2016	21.95	0.036	0.024	5.75	210.7	5.1	43	11.1	0.97	0.013	0.051	0.005			
SF_N1_3	SF	B	N1	2016	26.71	0.023	0.015	5.6	287.5	46.9	121.7	104	8.33	0.009	0.043	0.006			
SF_N2_3	SF	B	N2	2016	29.64	0.023	0.015	6.63	253	6.3	45.3	156.7	11.92	0.012	0.056	0.005			
